,Video,Mean,Std,Diff1,Diff2,PCAd1,PCAd2,Label
O12,T10,0.9123757088,0.0417069646,0.0020116964,0.3022847947,0.0419780236,0.0621297805,Genuine
O13,T10,0.9192327981,0.0315530704,0.0026969696,0.2751343892,0.0448697487,0.0620337805,Genuine
O14,T10,0.8831158069,0.0500393822,0.0022180045,0.3182314563,0.0419213084,0.0611715071,Genuine
O15,T10,0.7691085736,0.3080638389,0.0203350211,0.1478933119,0.0323494749,0.0739348397,Genuine
O16,T10,0.9281289522,0.0481806451,0.0020093724,0.296157707,0.0401585409,0.0611433523,Genuine
O17,T10,0.8992522407,0.0596696113,0.0033988188,0.2860879756,0.0397209416,0.0633152843,Genuine
O18,T10,0.8677099849,0.2146079659,0.0203336648,0.1136392265,0.0343877071,0.0934016624,Genuine
O19,T10,0.9282530363,0.0318235048,0.0019444089,0.2582248343,0.0403837075,0.06124587,Genuine
O20,T10,0.8418738277,0.0725045174,0.0066439835,0.2639223333,0.0416823698,0.0641892221,Genuine
O1,F1,0.9514026863,0.0160218263,0.0027416569,0.3895431593,0.0735958019,0.1169346287,Posed
O2,F1,0.9592853214,0.0293726461,0.004002221,0.3306811516,0.0747430936,0.1165031587,Posed
O3,F1,0.9559899183,0.0187946815,0.0022868324,0.4182344273,0.0747817909,0.1175029109,Posed
O4,F1,0.9763394855,0.0158524505,0.002902406,0.3863379735,0.0737310734,0.1169457981,Posed
O5,F1,0.9828456404,0.0087909736,0.0014419085,0.3338296047,0.0745815498,0.1165834963,Posed
O6,F1,0.7334643853,0.3583684789,0.0440051777,0.3162521684,0.0563682705,0.13396627,Posed
O7,F1,0.9561152025,0.0494066518,0.007574861,0.0707471977,0.0737796775,0.116947686,Posed
O8,F1,0.918879798,0.0451744665,0.0091744717,0.377358766,0.0736166368,0.116684143,Posed
O9,F1,0.7984311688,0.3451075958,0.0238457518,0.181755944,0.0646683617,0.1371385246,Posed
O10,F1,0.906398773,0.0482005828,0.0075978681,0.2917915307,0.0751610326,0.1201955102,Posed
O11,F1,0.9410717869,0.0361550965,0.0090053979,0.2746441492,0.0755354886,0.1183031458,Posed
O12,F1,0.9690865507,0.0190183743,0.0024147701,0.3243300379,0.0745989165,0.1166126834,Posed
O13,F1,0.9794608412,0.0080616811,0.0017919143,0.3144034491,0.0742262871,0.1165143134,Posed
O14,F1,0.8251493417,0.3062520504,0.0416871828,0.2403908516,0.0681674666,0.1440669888,Posed
O15,F1,0.856326406,0.2207682238,0.0124859063,0.0990144904,0.0125929336,0.0936436504,Posed
O16,F1,0.9817422399,0.0120644867,0.0016664682,0.3204421245,0.0744372672,0.1166146587,Posed
O17,F1,0.9642877431,0.067407014,0.0107523258,0.0843723904,0.0837799794,0.1289338487,Posed
O18,F1,0.9366707215,0.0213609319,0.0035039725,0.32079651,0.0752337351,0.1173411999,Posed
O19,F1,0.741810062,0.3068547848,0.0429670787,0.2999412845,0.061131246,0.1332759426,Posed
O20,F1,0.9274369692,0.049421103,0.0073761479,0.3422946656,0.0734593425,0.1185932147,Posed
O1,F2,0.9033324035,0.0594472697,0.0025775662,0.2525400169,0.0293693876,0.1074226889,Posed
O2,F2,0.8878956126,0.0946623096,0.0025634269,0.2417217879,0.0124813655,0.0843069724,Posed
O3,F2,0.8817834277,0.0628935967,0.0025263683,0.3109624533,0.0276132896,0.1066361475,Posed
O4,F2,0.8999507047,0.0357773613,0.0019865684,0.2448447147,0.0290264577,0.1069013157,Posed
O5,F2,0.9719296704,0.0175240379,0.0014326828,0.3214625766,0.0307964971,0.1069680643,Posed
O6,F2,0.9535656898,0.0332420501,0.0038420634,0.2135328431,0.0317879096,0.1094153162,Posed
O7,F2,0.8948326924,0.1668472088,0.0243320911,0.1271168073,0.0485161894,0.1963203412,Posed
O8,F2,0.9205279125,0.0440986216,0.0049650954,0.2895282774,0.0295032041,0.1088036078,Posed
O9,F2,0.8299630099,0.1745660969,0.0148376918,0.128366308,0.0305877569,0.1134306173,Posed
O10,F2,0.9520466464,0.0262843643,0.003188926,0.3084257312,0.0307945307,0.1098477638,Posed
O11,F2,0.7788907401,0.0917523446,0.0132358224,0.2294675206,0.0187300131,0.1257647072,Posed
O12,F2,0.9117431592,0.0481342296,0.0024352202,0.2561003543,0.0295206761,0.1073613446,Posed
O13,F2,0.8304102011,0.2129759904,0.018628828,0.1106862407,0.0267180252,0.1378610048,Posed
O14,F2,0.8548078682,0.2251436769,0.0185636686,0.1088960942,0.0416915527,0.145143084,Posed
O15,F2,0.8371990761,0.2922126589,0.0197579341,0.1346270886,0.024908807,0.1097427496,Posed
O16,F2,0.8157420303,0.2832583323,0.026750584,0.1799399201,0.0273842508,0.1278183371,Posed
O17,F2,0.846287634,0.2001649917,0.0194581593,0.0989317145,0.0261499233,0.1202771711,Posed
